symbol,buy_date,sell_date,buy_price,sell_price,pnl_pct,pnl_abs,sell_reason
COHR,2024-09-19,2024-10-18 00:00:00,86.05999755859375,98.2300033569336,14.141303908420314,4713.686645812988,macd_death_cross
CVNA,2024-09-19,2024-10-18 00:00:00,170.74000549316406,191.30999755859375,12.047552655287488,4015.6738510131836,macd_death_cross
BX,2024-10-18,2024-11-01 00:00:00,164.42684936523438,161.2288818359375,-1.9449180846331036,-487.65806854247785,macd_death_cross
NFLX,2024-10-18,2024-11-04 00:00:00,76.38899993896484,75.5510025024414,-1.097013231215229,-275.0642785644559,macd_death_cross
TSLA,2024-11-08,2024-11-14 00:00:00,321.2200012207031,311.17999267578125,-3.1255863603660248,-38.15203247070326,trailing_stop
COHR,2024-10-18,2024-11-15 00:00:00,98.2300033569336,95.11000061035156,-3.1762217652024596,-796.4119010925278,trailing_stop
CVNA,2024-11-01,2024-11-15 00:00:00,229.0800018310547,241.0,5.203421544293618,424.70953475952047,macd_death_cross
GEV,2024-11-12,2024-11-15 00:00:00,322.5124816894531,328.5401611328125,1.8689755546154085,7.594876098632824,macd_death_cross
BKNG,2024-11-01,2024-11-19 00:00:00,4695.57080078125,4920.88232421875,4.798384115516107,389.7889355468751,macd_death_cross
SYF,2024-11-06,2024-11-20 00:00:00,66.0615463256836,63.018272399902344,-4.606725235854913,-126.63062805175787,macd_death_cross
FTNT,2024-11-13,2024-11-25 00:00:00,97.87999725341797,93.12000274658203,-4.863092194937427,-6.568792419433578,macd_death_cross
IP,2024-11-01,2024-11-26 00:00:00,52.62395095825195,56.23286819458008,6.857936682084513,559.7430633544927,macd_death_cross
TRGP,2024-11-05,2024-11-27 00:00:00,172.6948699951172,196.048583984375,13.523108121230306,1117.2416772460929,macd_death_cross
VRT,2024-11-19,2024-11-27 00:00:00,140.6638641357422,126.69129943847656,-9.933300768548449,-532.6341662597661,trailing_stop
LITE,2024-11-21,2024-11-27 00:00:00,85.61000061035156,83.7699966430664,-2.1492862447926107,-95.56980606079105,macd_death_cross
XYZ,2024-11-18,2024-11-29 00:00:00,90.79000091552734,88.55000305175781,-2.46722969620153,-187.48782119750922,macd_death_cross
FICO,2024-11-26,2024-11-29 00:00:00,2382.39990234375,2375.030029296875,-0.3093465979252555,-13.118374023437354,macd_death_cross
TPL,2024-09-19,2024-12-02 00:00:00,302.7055358886719,496.4930725097656,64.01849772987447,21337.94565734863,trailing_stop
PLTR,2024-11-05,2024-12-02 00:00:00,51.130001068115234,66.38999938964844,29.845487977212986,2466.1683287429805,macd_death_cross
AXON,2024-11-08,2024-12-02 00:00:00,603.1799926757812,636.3900146484375,5.505822868118101,67.08424438476573,macd_death_cross
IBKR,2024-11-15,2024-12-02 00:00:00,44.70930862426758,46.126670837402344,3.170172513840756,361.54075332641514,macd_death_cross
LYV,2024-11-12,2024-12-03 00:00:00,129.6699981689453,137.35000610351562,5.922733124869897,24.115224914550765,macd_death_cross
KKR,2024-11-27,2024-12-03 00:00:00,158.8363800048828,156.7222900390625,-1.3309859905868686,-101.09578216552745,macd_death_cross
FIX,2024-11-27,2024-12-05 00:00:00,484.680908203125,495.12841796875,2.1555439029685384,163.71247802734342,macd_death_cross
APP,2024-11-07,2024-12-09 00:00:00,246.52999877929688,342.5400085449219,38.94455451305009,713.3543725585937,trailing_stop
TPR,2024-11-14,2024-12-10 00:00:00,56.43691635131836,60.253257751464844,6.762136641892084,32.74420921325685,macd_death_cross
HOOD,2024-11-18,2024-12-10 00:00:00,35.0,37.36000061035156,6.74285888671875,512.4033325195314,trailing_stop
XYZ,2024-12-02,2024-12-10 00:00:00,92.77999877929688,94.04000091552734,1.3580536244969517,441.7441489410412,macd_death_cross
